날짜,종가,오픈,고가,저가,변동 %
2005년 10월,4.557,4.557,4.557,4.557,5.19%
2005년 11월,4.49,4.49,4.49,4.49,-1.47%
2005년 12월,4.395,4.395,4.395,4.395,-2.12%
2006년 1월,4.519,4.519,4.519,4.519,2.82%
2006년 2월,4.557,4.557,4.557,4.557,0.84%
2006년 3월,4.853,4.853,4.853,4.853,6.50%
2006년 4월,5.057,5.057,5.057,5.057,4.20%
2006년 5월,5.123,5.123,5.123,5.123,1.31%
2006년 6월,5.145,5.145,5.145,5.145,0.43%
2006년 7월,4.988,4.988,4.988,4.988,-3.05%
2006년 8월,4.732,4.732,4.732,4.732,-5.13%
2006년 9월,4.633,4.633,4.633,4.633,-2.09%
2006년 10월,4.604,4.604,4.604,4.604,-0.63%
2006년 11월,4.462,4.462,4.462,4.462,-3.08%
2006년 12월,4.7,4.7,4.7,4.7,5.33%
2007년 1월,4.814,4.814,4.814,4.814,2.43%
2007년 2월,4.577,4.577,4.577,4.577,-4.92%
2007년 3월,4.648,4.648,4.648,4.648,1.55%
2007년 4월,4.628,4.628,4.628,4.628,-0.43%
2007년 5월,4.892,4.892,4.892,4.892,5.70%
2007년 6월,5.027,5.027,5.027,5.027,2.76%
2007년 7월,4.733,4.733,4.733,4.733,-5.85%
2007년 8월,4.527,4.527,4.527,4.527,-4.35%
2007년 9월,4.594,4.594,4.594,4.594,1.48%
2007년 10월,4.473,4.473,4.473,4.473,-2.63%
2007년 11월,3.949,3.949,3.949,3.949,-11.71%
2007년 12월,4.035,4.035,4.035,4.035,2.18%
2008년 1월,3.597,3.597,3.597,3.597,-10.86%
2008년 2월,3.519,3.519,3.519,3.519,-2.17%
2008년 3월,3.421,3.421,3.421,3.421,-2.78%
2008년 4월,3.734,3.734,3.734,3.734,9.15%
2008년 5월,4.067,3.74,4.141,3.683,8.92%
2008년 6월,3.975,4.058,4.288,3.858,-2.26%
2008년 7월,3.958,3.967,4.178,3.771,-0.43%
2008년 8월,3.825,3.958,4.094,3.763,-3.36%
2008년 9월,3.829,3.827,3.909,3.251,0.10%
2008년 10월,3.97,3.748,4.11,3.402,3.68%
2008년 11월,2.92,3.959,3.984,2.908,-26.45%
2008년 12월,2.22,2.96,2.962,2.04,-23.97%
2009년 1월,2.851,2.25,2.894,2.148,28.42%
2009년 2월,3.021,2.851,3.058,2.619,5.96%
2009년 3월,2.668,3.02,3.045,2.462,-11.68%
2009년 4월,3.119,2.668,3.166,2.65,16.90%
2009년 5월,3.461,3.115,3.754,3.072,10.97%
2009년 6월,3.537,3.492,4.008,3.454,2.20%
2009년 7월,3.482,3.527,3.766,3.261,-1.55%
2009년 8월,3.401,3.512,3.893,3.374,-2.33%
2009년 9월,3.305,3.403,3.534,3.272,-2.82%
2009년 10월,3.388,3.318,3.581,3.106,2.51%
2009년 11월,3.198,3.396,3.563,3.154,-5.61%
2009년 12월,3.837,3.207,3.918,3.196,19.98%
2010년 1월,3.588,3.858,3.904,3.563,-6.49%
2010년 2월,3.619,3.606,3.828,3.537,0.86%
2010년 3월,3.833,3.625,3.928,3.593,5.91%
2010년 4월,3.659,3.839,4.013,3.655,-4.54%
2010년 5월,3.303,3.663,3.713,3.064,-9.73%
2010년 6월,2.935,3.3,3.427,2.928,-11.14%
2010년 7월,2.905,2.942,3.132,2.855,-1.02%
2010년 8월,2.47,2.925,2.972,2.419,-14.97%
2010년 9월,2.512,2.482,2.849,2.449,1.70%
2010년 10월,2.603,2.515,2.731,2.334,3.62%
